Index,Label_GT,Predicted_Label,Lipschitz_Constant,Robust_Epsilon,Adv_Epsilon_AA,Adv_Epsilon_PGD
0,0,0,1.0,0.3496229,1.5640002,1.863645
1,0,0,1.0,0.13969153,0.66833484,0.84519666
2,0,0,1.0,0.1685597,0.7852424,0.9922853
3,0,0,1.0,0.18583024,0.86283106,1.1321906
4,0,0,1.0,0.3157398,1.4318143,1.7637706
5,0,0,1.0,0.30577415,1.4131047,1.7902956
6,0,0,1.0,0.06562792,0.31036988,0.4268023
7,0,0,1.0,0.3217299,1.6330976,1.9973929
8,0,0,1.0,0.041682042,0.22937697,0.39968592
9,0,0,1.0,0.5669894,2.7683923,3.379732
10,0,0,1.0,0.3734681,1.7321647,2.028567
11,0,0,1.0,0.18381298,0.9644819,1.1854185
12,0,0,1.0,0.22062387,0.9733334,1.2502774
13,0,0,1.0,0.3358516,1.5181963,1.8330407
14,0,0,1.0,0.13295574,0.7200187,0.89884645
15,0,0,1.0,0.16625509,0.77370894,0.9625192
16,0,0,1.0,0.06920325,0.37633845,0.483655
17,0,0,1.0,0.26628622,1.217245,1.4988763
18,0,0,1.0,0.31363457,1.4805175,1.8113441
19,0,0,1.0,0.26027536,1.244236,1.4749658
20,1,1,1.0,1.0735787,3.7258072,4.126941
21,1,1,1.0,0.8196231,2.5181596,2.8176293
22,1,1,1.0,0.81364346,3.0442924,3.5385349
23,1,1,1.0,0.50567764,1.4553181,1.59889
24,1,1,1.0,0.8333956,2.4165277,2.6196828
25,1,1,1.0,1.0854335,3.67089,4.040122
26,1,1,1.0,0.43117616,1.3926214,1.5519346
27,1,1,1.0,1.1009927,3.8129194,4.165563
28,1,1,1.0,0.55436826,1.7115179,1.9149464
29,1,1,1.0,0.9560424,2.9579422,3.224415
30,1,1,1.0,0.3585541,1.2863199,1.4576116
31,1,1,1.0,0.844206,2.3283544,2.5000618
32,1,1,1.0,0.38467175,1.1247845,1.2472962
33,1,1,1.0,0.6182413,1.8790803,2.0672352
34,1,1,1.0,0.8754801,2.6913483,2.9887676
35,1,1,1.0,0.7367498,2.485252,2.748067
36,1,1,1.0,1.1630147,3.6141675,3.90606
37,1,1,1.0,1.0083286,3.0516584,3.2979305
38,1,1,1.0,0.68273205,2.427633,2.8132358
39,1,1,1.0,0.51840925,1.4946442,1.6457869
40,2,2,1.0,0.3674524,1.6835961,2.0348325
41,2,2,1.0,0.16868347,0.81613,1.059448
42,2,2,1.0,0.13299313,0.6339081,0.79761356
43,2,2,1.0,0.04537282,0.22317043,0.37855116
44,2,2,1.0,0.055212885,0.2595858,0.32732165
45,2,2,1.0,0.19404864,0.8685501,1.0455482
46,2,2,1.0,0.20926441,1.0448078,1.290644
47,2,2,1.0,0.2926207,1.3420775,1.639881
48,2,2,1.0,0.18432023,0.7996778,1.0025374
49,2,2,1.0,0.27274796,1.1316183,1.4166824
50,2,2,1.0,0.09148844,0.44887692,0.5896229
51,2,2,1.0,0.12639976,0.68522567,1.0626329
52,2,2,1.0,0.34086788,1.5645846,1.8418282
53,2,2,1.0,0.14855848,0.6869898,0.92947066
54,2,2,1.0,0.17627536,0.823162,0.98374844
55,2,2,1.0,0.030257033,0.150794,0.21647419
56,2,2,1.0,0.19211861,0.9412746,1.1366893
57,2,2,1.0,0.18878974,0.91237247,1.1021748
58,2,2,1.0,0.0020464612,0.010856434,0.079013966
59,2,2,1.0,0.32075426,1.4982111,1.7292093
60,3,3,1.0,0.47359082,1.6818591,2.3959022
61,3,3,1.0,0.03104541,0.13727635,0.2385536
62,3,3,1.0,0.15493381,0.7379066,1.1753347
63,3,3,1.0,0.14543933,0.70543444,0.86734855
64,3,3,1.0,0.06499475,0.3001081,0.4710318
65,3,3,1.0,0.14669581,0.6199268,0.7119596
66,3,3,1.0,0.07705445,0.2755123,0.49903378
67,3,3,1.0,0.3225486,1.3363266,1.9760094
68,3,3,1.0,0.16052103,0.7163505,0.8921323
69,3,3,1.0,0.43151155,1.6714016,2.29312
70,3,3,1.0,0.18215308,0.79232895,0.91010463
71,3,3,1.0,0.21276985,0.83690524,1.0034742
72,3,3,1.0,0.2016994,0.84738874,1.0119307
73,3,3,1.0,0.23463452,1.0184323,1.5066015
74,3,3,1.0,0.10437015,0.48936516,0.67719513
75,3,3,1.0,0.28791705,1.1459289,1.352091
76,3,3,1.0,0.32574397,1.3260655,1.4964473
77,3,3,1.0,0.23971681,1.0404341,1.2451537
78,3,3,1.0,0.029914293,0.15034758,0.24044298
79,3,3,1.0,0.41980124,1.5747869,2.3193266
80,4,4,1.0,0.10472139,0.47859505,0.5867393
81,4,4,1.0,0.15154605,0.62026185,0.7592189
82,4,4,1.0,0.19258028,0.868463,1.0378696
83,4,4,1.0,0.05304678,0.22286084,0.36218876
84,4,4,1.0,0.14147672,0.6124623,0.7232152
85,4,4,1.0,0.021903006,0.095732,0.20495304
86,4,4,1.0,0.23389266,0.9746274,1.1962972
87,4,4,1.0,0.05187023,0.23167337,0.39598957
88,4,4,1.0,0.26044193,1.1151321,1.3565396
89,4,4,1.0,0.12344476,0.562565,0.7712235
90,4,4,1.0,0.061829068,0.26290688,0.33275053
91,4,4,1.0,0.27181464,1.2521046,1.5392786
92,4,4,1.0,0.23815508,1.0913522,1.3328089
93,4,4,1.0,0.15018256,0.6711609,0.8025358
94,4,4,1.0,0.0940518,0.43062493,0.5691869
95,4,4,1.0,0.26062906,1.1895506,1.4047781
96,4,4,1.0,0.20734449,0.8846086,1.0694342
97,4,4,1.0,0.26131868,1.0990927,1.2884331
98,4,4,1.0,0.032348443,0.13886668,0.2537566
99,4,4,1.0,0.1167199,0.49245864,0.6557705
100,5,5,1.0,0.18215948,0.7934871,0.9106745
101,5,5,1.0,0.3354375,1.2241812,1.8303721
102,5,5,1.0,0.17234293,0.75766706,0.93422896
103,5,5,1.0,0.25342113,0.99253964,1.2019218
104,5,5,1.0,0.35264117,1.2294643,1.6098582
105,5,5,1.0,0.6556961,2.2486155,2.5223753
106,5,5,1.0,0.35152352,1.3554932,2.0700326
107,5,5,1.0,0.4456161,1.6503601,1.819346
108,5,5,1.0,0.21923362,0.9674118,1.3388035
109,5,5,1.0,0.37225458,1.4827865,1.6203549
110,5,5,1.0,0.5874675,1.8819073,2.0096784
111,5,5,1.0,0.20705183,0.7135857,0.8042397
112,5,5,1.0,0.39134622,1.2839242,1.5039186
113,5,5,1.0,0.25686237,1.0149817,1.1208543
114,5,5,1.0,0.25297,0.949288,1.2170678
115,5,5,1.0,0.52742964,1.5053434,1.7593563
116,5,5,1.0,0.3475607,1.2711172,1.5530667
117,5,5,1.0,1.0364592,2.9890292,3.216323
118,5,5,1.0,0.34638706,1.2614846,1.8999704
119,5,5,1.0,0.3228409,0.9140253,1.0066038
120,6,6,1.0,0.08641393,0.43398356,0.68757176
121,6,6,1.0,0.063059986,0.29656434,0.41186616
122,6,6,1.0,0.04346339,0.19934587,0.31304657
123,6,6,1.0,0.07609445,0.45377275,0.6450134
124,6,6,1.0,0.0042680847,0.022520801,0.10470474
125,6,6,1.0,0.07679103,0.38042814,0.48551252
126,6,6,1.0,0.10224667,0.49780798,0.6646104
127,6,6,1.0,0.064245656,0.3056516,0.47881782
128,6,6,1.0,0.013994023,0.07629941,0.20395967
129,6,6,1.0,0.020212485,0.10685894,0.20713669
130,6,6,1.0,0.101117074,0.49708858,0.69091636
131,6,6,1.0,0.0429968,0.2035394,0.30926463
132,6,6,1.0,0.029411113,0.14881292,0.3708873
133,6,6,1.0,0.099283926,0.5236434,0.7250367
134,6,6,1.0,0.081475355,0.37639457,0.5249376
135,6,6,1.0,0.018361095,0.08246412,0.15439361
136,6,6,1.0,0.062020607,0.3368507,0.6060826
137,6,6,1.0,0.03705618,0.1832353,0.22103064
138,6,6,1.0,0.06615824,0.4150207,0.68968374
139,6,6,1.0,0.069434986,0.33028623,0.4988553
140,7,7,1.0,0.31354147,1.1279533,1.6474726
141,7,7,1.0,0.39428878,1.3641757,1.6243979
142,7,7,1.0,0.3716892,1.391085,2.048972
143,7,7,1.0,0.36466014,1.2921903,1.8252478
144,7,7,1.0,0.46763358,1.5256778,1.7723329
145,7,7,1.0,0.28159136,1.061392,1.2465576
146,7,7,1.0,0.12404528,0.4459896,0.66123736
147,7,7,1.0,0.5309598,1.5873461,1.8083737
148,7,7,1.0,0.4242916,1.4843382,1.9744327
149,7,7,1.0,0.3945295,1.2097542,1.3884196
150,7,7,1.0,0.35388243,1.2755975,1.5796521
151,7,7,1.0,0.44788688,1.629607,2.069272
152,7,7,1.0,0.24234475,0.9147687,1.3040664
153,7,7,1.0,0.24692026,0.8590794,1.2361894
154,7,7,1.0,0.09676633,0.36748782,0.5790551
155,7,7,1.0,0.47104806,1.7193813,2.0143847
156,7,7,1.0,0.32764846,1.2398441,1.7883075
157,7,7,1.0,0.48761585,1.7980402,2.0887508
158,7,7,1.0,0.45302105,1.6137016,1.8808429
159,7,7,1.0,0.33938268,1.276739,1.686558
160,8,8,1.0,0.66573673,2.5719924,3.4129548
161,8,8,1.0,0.94628257,3.9577763,4.8047724
162,8,8,1.0,0.3347558,1.6743019,2.3424172
163,8,8,1.0,0.4346269,2.0994942,2.5317578
164,8,8,1.0,0.18046328,0.83545345,0.99435365
165,8,8,1.0,1.0032151,3.7446952,4.3995113
