Index,Label_GT,Predicted_Label,Lipschitz_Constant,Robust_Epsilon,Adv_Epsilon_AA,Adv_Epsilon_PGD
0,0,0,1.0,1.482656,2.5818021,3.1504319
1,0,0,1.0,2.0995615,3.1580737,3.5547738
2,0,0,1.0,1.8961864,3.250798,3.4649882
3,0,0,1.0,2.0774922,3.5131638,4.0060906
4,0,0,1.0,1.9262872,3.1682773,3.4754782
5,0,0,1.0,1.0874507,2.0786753,2.2655568
6,0,0,1.0,1.7301764,2.9154565,3.653576
7,0,0,1.0,2.777856,4.0545316,4.830969
8,0,0,1.0,2.0047443,3.0414822,3.438567
9,0,0,1.0,0.945454,1.8048304,2.065988
10,0,0,1.0,1.3186746,2.3161035,2.526208
11,0,0,1.0,1.7090226,2.6318102,3.1682343
12,0,0,1.0,1.2885787,2.241817,2.7158325
13,0,0,1.0,2.3817635,3.7279403,4.2647204
14,0,0,1.0,2.1282969,3.3936918,3.619269
15,0,0,1.0,1.6943183,2.7774951,3.199293
16,0,0,1.0,1.8080662,2.9364288,3.2613268
17,0,0,1.0,1.3037035,2.274665,2.4890964
18,0,0,1.0,1.8010324,2.829879,3.113792
19,0,0,1.0,1.3182448,2.4489913,2.8331397
20,1,1,1.0,1.4519271,1.9847991,2.3149548
21,1,1,1.0,1.4519064,2.1414847,2.4121332
22,1,1,1.0,1.516974,2.3098547,2.514704
23,1,1,1.0,1.1119543,1.7849907,1.9814926
24,1,1,1.0,1.0925483,1.7094222,2.0190566
25,1,1,1.0,1.2530441,1.9991065,2.20996
26,1,1,1.0,0.99836856,1.6083258,1.7344052
27,1,1,1.0,0.9816681,1.6011243,1.8829674
28,1,1,1.0,0.6751519,1.2981095,1.4664129
29,1,1,1.0,1.3319918,1.9235816,2.1528873
30,1,1,1.0,1.2077088,1.9590659,2.1471114
31,1,1,1.0,1.2469182,1.9356512,2.1449676
32,1,1,1.0,0.8412571,1.4101409,1.5507928
33,1,1,1.0,0.6883472,1.2848232,1.445426
34,1,1,1.0,1.0767868,1.7649095,1.9563653
35,1,1,1.0,1.295048,1.9960941,2.1445081
36,1,1,1.0,1.1453689,1.8760711,2.0395036
37,1,1,1.0,1.2221417,1.8852003,2.1068823
38,1,1,1.0,1.2014928,1.9002976,2.1236367
39,1,1,1.0,1.186439,1.8366644,2.1663382
