Index,Label_GT,Predicted_Label,Lipschitz_Constant,Robust_Epsilon,Adv_Epsilon_AA,Adv_Epsilon_PGD
0,0,0,1.0,1.5684717,1.7040209,1.7075924
1,0,0,1.0,3.0839682,3.292168,3.280834
2,0,0,1.0,2.9547472,3.148924,3.1543102
3,0,0,1.0,4.875244,4.924644,4.9389434
4,0,0,1.0,4.3420124,4.445022,4.4513855
5,0,0,1.0,3.7814255,3.960775,3.9589424
6,0,0,1.0,2.9868743,3.4044576,3.4035408
7,0,0,1.0,4.143928,4.2495875,4.249703
8,0,0,1.0,4.133028,4.301949,4.309578
9,0,0,1.0,2.3412073,2.5635571,2.5657287
10,0,0,1.0,4.511144,4.5639415,4.566574
11,0,0,1.0,3.900504,4.0337057,4.042797
12,0,0,1.0,3.7293441,4.0063777,4.1113153
13,0,0,1.0,2.555651,2.7077796,2.7092052
14,0,0,1.0,3.2902503,3.536418,3.5788448
15,0,0,1.0,3.0927582,3.1930153,3.1965551
16,0,0,1.0,0.6725568,0.77108663,0.7766519
17,0,0,1.0,0.9981919,1.1161542,1.1281749
18,0,0,1.0,3.8616347,4.099952,4.1185427
19,0,0,1.0,3.234213,3.4474301,3.4628913
20,0,0,1.0,3.468601,3.7093546,3.7208152
21,0,0,1.0,0.97181976,1.1361723,1.1577276
22,0,0,1.0,3.122111,3.35129,3.3586774
23,0,0,1.0,3.1327925,3.328158,3.3356316
24,0,0,1.0,3.3566437,3.6170673,3.6334786
25,0,0,1.0,3.773221,4.122549,4.222848
26,0,0,1.0,2.5844607,2.8465183,2.8511899
27,0,0,1.0,3.8098476,3.9785256,3.96803
28,0,0,1.0,2.3861368,2.6070192,2.6082964
29,0,0,1.0,3.9733338,4.1322093,4.1381226
30,0,0,1.0,3.1049097,3.351327,3.348477
31,0,0,1.0,3.684414,4.059957,4.065153
32,0,0,1.0,3.2310083,3.5796702,3.6393485
33,0,0,1.0,4.0849776,4.18088,4.176613
34,0,0,1.0,3.9867284,4.1392584,4.1482096
35,0,0,1.0,3.5165398,3.734479,3.7298698
36,0,0,1.0,3.5093608,3.7500336,3.7409554
37,0,0,1.0,3.4600837,3.639494,3.6859326
38,0,0,1.0,3.5630763,3.7483687,3.7615993
39,0,0,1.0,3.215356,3.3795364,3.3764966
40,0,0,1.0,0.9563929,1.0314014,1.0365752
41,0,0,1.0,2.3348925,2.6538546,2.6588364
42,0,0,1.0,2.8369029,3.205582,3.213249
43,0,0,1.0,2.466274,2.980181,3.1577094
44,0,0,1.0,2.7776105,2.922143,2.9221768
45,0,0,1.0,3.6188226,3.8642235,3.862085
46,0,0,1.0,3.527344,3.719986,3.785974
47,0,0,1.0,4.548399,4.6134872,4.602176
48,0,0,1.0,2.7128549,2.9373558,2.9316378
49,0,0,1.0,1.5308361,1.817745,1.8261783
50,0,0,1.0,2.9744728,3.2170348,3.2146776
51,0,0,1.0,2.9162,3.1325457,3.140951
52,0,0,1.0,3.1893516,3.5298643,3.5618768
53,0,0,1.0,2.1477232,2.3388007,2.3342967
54,0,0,1.0,3.9937239,4.1590858,4.166184
55,0,0,1.0,3.981048,4.1454825,4.1390266
56,0,0,1.0,2.5932286,2.831658,2.8344116
57,0,0,1.0,3.6954963,3.8485963,3.8697994
58,0,0,1.0,2.5595474,2.7145176,2.7250073
59,0,0,1.0,2.8973527,3.116441,3.122938
60,0,0,1.0,3.1468077,3.3996887,3.4010386
61,0,0,1.0,3.9283383,4.1257987,4.1414976
62,0,0,1.0,4.47838,4.6614943,4.7067127
63,0,0,1.0,2.4699209,2.7608197,2.7526188
64,0,0,1.0,4.407251,4.589686,4.593734
65,0,0,1.0,3.1202333,3.3839488,3.3827956
66,0,0,1.0,2.461006,3.015076,3.137762
67,0,0,1.0,3.5632005,3.8302116,3.8399055
68,0,0,1.0,4.382365,4.5042005,4.505275
69,0,0,1.0,1.2904819,1.4381579,1.4443367
70,0,0,1.0,4.3715053,4.4608,4.4452205
71,0,0,1.0,3.6505167,3.834169,3.8352182
72,0,0,1.0,0.7684439,0.8416907,0.8812838
73,0,0,1.0,1.9866076,2.5857394,2.5951731
74,0,0,1.0,2.9164705,3.049227,3.0553706
75,0,0,1.0,3.9596884,4.1271863,4.118883
76,0,0,1.0,3.100972,3.250931,3.2631629
77,0,0,1.0,1.9682387,2.114512,2.1142843
78,0,0,1.0,3.2430208,3.4492002,3.435136
79,0,0,1.0,3.2476118,3.5303752,3.5395513
80,0,0,1.0,3.5854611,3.7645981,3.7610493
81,0,0,1.0,3.6013105,3.7436426,3.7367747
82,0,0,1.0,3.3173254,3.552181,3.5438313
