Index,Label_GT,Predicted_Label,Lipschitz_Constant,Robust_Epsilon,Adv_Epsilon_AA,Adv_Epsilon_PGD
0,0,0,1.0,1.6612896,1.807319,1.8122749
1,0,0,1.0,3.027657,3.253846,3.2539856
2,0,0,1.0,3.0673776,3.3497984,3.3422313
3,0,0,1.0,4.6951184,4.743764,4.743671
4,0,0,1.0,4.3250165,4.4507194,4.4535813
5,0,0,1.0,3.6831868,3.8825905,3.8853729
6,0,0,1.0,3.131813,3.661221,3.6590793
7,0,0,1.0,3.9829907,4.187853,4.1987476
8,0,0,1.0,4.2998886,4.488038,4.4951496
9,0,0,1.0,2.5395014,2.8540518,2.8569744
10,0,0,1.0,4.672023,4.791553,4.8001003
11,0,0,1.0,4.1945868,4.3455343,4.3490577
12,0,0,1.0,3.075861,3.3581796,3.377981
13,0,0,1.0,2.4690578,2.6490846,2.6547105
14,0,0,1.0,3.5259345,3.8988752,3.887479
15,0,0,1.0,3.0473669,3.2014744,3.2102106
16,0,0,1.0,1.2166653,1.4456065,1.4441409
17,0,0,1.0,1.4650099,1.6930095,1.711386
18,0,0,1.0,3.813073,4.027272,4.069098
19,0,0,1.0,3.3198795,3.5210018,3.521861
20,0,0,1.0,3.456798,3.7834697,3.7849317
21,0,0,1.0,1.2709686,1.5774329,1.5860531
22,0,0,1.0,3.2810192,3.5671997,3.561956
23,0,0,1.0,3.2303174,3.5207765,3.5275767
24,0,0,1.0,3.3309312,3.5459373,3.5510375
25,0,0,1.0,3.865322,4.4123645,4.438497
26,0,0,1.0,2.36665,2.7535248,2.7539012
27,0,0,1.0,3.5910041,3.8768015,3.908696
28,0,0,1.0,2.1412234,2.3963647,2.403607
29,0,0,1.0,3.7186575,3.876796,3.891455
30,0,0,1.0,3.1283128,3.4203784,3.4514954
31,0,0,1.0,3.922685,4.229285,4.239279
32,0,0,1.0,3.2562418,3.6319036,3.645787
33,0,0,1.0,4.014101,4.1640334,4.1869726
34,0,0,1.0,3.6112685,3.9523416,3.9771924
35,0,0,1.0,3.5159528,3.793256,3.7981832
36,0,0,1.0,3.932112,4.1437135,4.1630316
37,0,0,1.0,3.506669,3.7192183,3.760497
38,0,0,1.0,2.9117765,3.1834047,3.1802776
39,0,0,1.0,3.4162922,3.6307762,3.635144
40,0,0,1.0,1.0090067,1.139837,1.1498455
41,0,0,1.0,2.2620022,2.707023,2.7242281
42,0,0,1.0,2.845605,3.3561032,3.402531
43,0,0,1.0,2.4135857,3.4129307,3.4976697
44,0,0,1.0,2.909804,3.1034505,3.1038485
45,0,0,1.0,3.7247097,3.9492404,3.9502802
46,0,0,1.0,3.4945188,3.6925898,3.6989753
47,0,0,1.0,4.614286,4.712626,4.713778
48,0,0,1.0,2.8501608,3.0834477,3.1034567
49,0,0,1.0,1.6379927,2.2955527,2.2991884
50,0,0,1.0,2.539929,2.8532252,2.8699777
51,0,0,1.0,2.917422,3.2041073,3.20889
52,0,0,1.0,2.8981638,3.3701952,3.3668194
53,0,0,1.0,2.307219,2.5499852,2.5472987
54,0,0,1.0,4.1025944,4.288011,4.2760363
55,0,0,1.0,3.3135245,3.6627336,3.6843846
56,0,0,1.0,3.038138,3.2303944,3.2287498
57,0,0,1.0,3.716483,3.8678997,3.8685918
58,0,0,1.0,2.586103,2.7814367,2.7815619
59,0,0,1.0,2.812994,3.157642,3.173099
60,0,0,1.0,3.1536307,3.3795996,3.3953736
61,0,0,1.0,4.503179,4.6145024,4.618508
62,0,0,1.0,4.584039,4.681527,4.677392
63,0,0,1.0,2.5740957,2.9727554,2.998316
64,0,0,1.0,4.6511693,4.968805,4.9341
65,0,0,1.0,3.187811,3.609505,3.631032
66,0,0,1.0,2.8162909,3.5196655,3.667526
67,0,0,1.0,3.8004289,4.0603466,4.07145
68,0,0,1.0,4.567239,4.717989,4.7271533
